"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","194","Should return method not allowed when using POST","webkit","Fri Mar 28 10:03:17 AEST 2025","passed","Fri Mar 28 10:03:17 AEST 2025","GET /api/brandsList - All Brands API","","",""
"","285","Should respond in less than 2 seconds (performance check)","webkit","Fri Mar 28 10:03:18 AEST 2025","passed","Fri Mar 28 10:03:18 AEST 2025","GET /api/productsList - All Products API","","",""
"","198","Should fail when password is missing","webkit","Fri Mar 28 10:03:16 AEST 2025","passed","Fri Mar 28 10:03:16 AEST 2025","","","",""
"","198","Should return empty products for unknown keyword","firefox","Fri Mar 28 10:03:15 AEST 2025","passed","Fri Mar 28 10:03:15 AEST 2025","POST /api/searchProduct -Product Search API","","",""
"","214","Should fail when password is missing","firefox","Fri Mar 28 10:03:13 AEST 2025","passed","Fri Mar 28 10:03:14 AEST 2025","","","",""
"","201","Should fail with existing email","webkit","Fri Mar 28 10:03:16 AEST 2025","passed","Fri Mar 28 10:03:17 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","279","Should fail with invalid mobile number","chromium","Fri Mar 28 10:03:11 AEST 2025","failed","Fri Mar 28 10:03:12 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","206","Should return 200 and a non-empty list of brands","chromium","Fri Mar 28 10:03:11 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","GET /api/brandsList - All Brands API","","",""
"","194","Should return method not allowed when using POST","firefox","Fri Mar 28 10:03:14 AEST 2025","passed","Fri Mar 28 10:03:14 AEST 2025","GET /api/brandsList - All Brands API","","",""
"","199","Should return 400 or error message with invalid crednetials","webkit","Fri Mar 28 10:03:16 AEST 2025","passed","Fri Mar 28 10:03:16 AEST 2025","","","",""
"","193","Should return error when search_produuct is missing","chromium","Fri Mar 28 10:03:12 AEST 2025","passed","Fri Mar 28 10:03:12 AEST 2025","POST /api/searchProduct -Product Search API","","",""
"","209","Should respond under 2 seconds","webkit","Fri Mar 28 10:03:18 AEST 2025","passed","Fri Mar 28 10:03:18 AEST 2025","POST /api/searchProduct -Product Search API","","",""
"","203","Should fail with invalid email","webkit","Fri Mar 28 10:03:17 AEST 2025","passed","Fri Mar 28 10:03:17 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","259","Should fail with unsupported title","firefox","Fri Mar 28 10:03:14 AEST 2025","failed","Fri Mar 28 10:03:15 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","199","Should return empty products for unknown keyword","chromium","Fri Mar 28 10:03:12 AEST 2025","passed","Fri Mar 28 10:03:13 AEST 2025","POST /api/searchProduct -Product Search API","","",""
